timestamp,psutil_available,pair_rss_mb,pair_cpu_percent,system_cpu_percent,system_ram_total_mb,system_ram_available_mb,active_llama_server_processes,error
2026-07-03T13:30:15.885120+00:00,True,3088.425781,0.0,0.0,130436.710938,83670.039062,2,
2026-07-03T13:30:16.411561+00:00,True,3099.875,36.4,22.6,130436.710938,83651.316406,2,
2026-07-03T13:30:16.934507+00:00,True,3099.921875,47.0,11.9,130436.710938,83653.113281,2,
2026-07-03T13:30:17.463417+00:00,True,3113.949219,38.3,11.7,130436.710938,83645.054688,2,
2026-07-03T13:30:17.988717+00:00,True,3199.125,38.3,11.5,130436.710938,83539.378906,2,
2026-07-03T13:30:18.501984+00:00,True,3199.15625,45.6,10.8,130436.710938,83540.484375,2,
2026-07-03T13:30:19.019703+00:00,True,3285.867188,38.2,11.3,130436.710938,83463.535156,2,
2026-07-03T13:30:19.534755+00:00,True,3287.609375,51.5,14.6,130436.710938,83466.875,2,
2026-07-03T13:30:20.045386+00:00,True,3370.464844,37.5,10.8,130436.710938,83381.4375,2,
2026-07-03T13:30:20.568079+00:00,True,3370.492188,48.4,13.9,130436.710938,83377.046875,2,
2026-07-03T13:30:21.086923+00:00,True,3368.796875,41.2,15.9,130436.710938,83388.277344,2,
2026-07-03T13:30:21.601628+00:00,True,3370.539063,39.4,11.0,130436.710938,83380.699219,2,
