model_id,metric,mean,std,min,max,count,total
first_model,step_count,2.0,0.0,2.0,2.0,2,
first_model,initial_validation_accept_rate,1.0,0.0,1.0,1.0,2,
first_model,final_validation_accept_rate,1.0,0.0,1.0,1.0,2,
first_model,execution_success_rate,1.0,0.0,1.0,1.0,2,
first_model,normal_activity_score,0.581333,0.0,0.5813333333333333,0.5813333333333333,2,
first_model,diversity_score,0.416667,0.0,0.41666666666666663,0.41666666666666663,2,
first_model,repetition_score,0.74,0.0,0.74,0.74,2,
first_model,sequence_coherence_score,0.0,0.0,0.0,0.0,2,
first_model,history_usage_score,0.0,0.0,0.0,0.0,2,
first_model,average_selection_latency_ms,0.0975,0.0185,0.079,0.116,2,
first_model,average_total_step_latency_ms,0.807,0.15,0.657,0.957,2,
first_model,total_file_not_found_count,,,,,,0
first_model,total_unsafe_path_count,,,,,,0
first_model,total_validation_failure_count,,,,,,0
first_model,total_repair_attempt_count,,,,,,0
first_model,total_successful_execution_count,,,,,,4
qwen2_5_3b_instruct_q4_k_m,step_count,2.0,0.0,2.0,2.0,2,
qwen2_5_3b_instruct_q4_k_m,initial_validation_accept_rate,1.0,0.0,1.0,1.0,2,
qwen2_5_3b_instruct_q4_k_m,final_validation_accept_rate,1.0,0.0,1.0,1.0,2,
qwen2_5_3b_instruct_q4_k_m,execution_success_rate,1.0,0.0,1.0,1.0,2,
qwen2_5_3b_instruct_q4_k_m,normal_activity_score,0.581333,0.0,0.5813333333333333,0.5813333333333333,2,
qwen2_5_3b_instruct_q4_k_m,diversity_score,0.416667,0.0,0.41666666666666663,0.41666666666666663,2,
qwen2_5_3b_instruct_q4_k_m,repetition_score,0.74,0.0,0.74,0.74,2,
qwen2_5_3b_instruct_q4_k_m,sequence_coherence_score,0.0,0.0,0.0,0.0,2,
qwen2_5_3b_instruct_q4_k_m,history_usage_score,0.0,0.0,0.0,0.0,2,
qwen2_5_3b_instruct_q4_k_m,average_selection_latency_ms,0.0925,0.0005,0.092,0.093,2,
qwen2_5_3b_instruct_q4_k_m,average_total_step_latency_ms,0.765,0.013,0.752,0.778,2,
qwen2_5_3b_instruct_q4_k_m,total_file_not_found_count,,,,,,0
qwen2_5_3b_instruct_q4_k_m,total_unsafe_path_count,,,,,,0
qwen2_5_3b_instruct_q4_k_m,total_validation_failure_count,,,,,,0
qwen2_5_3b_instruct_q4_k_m,total_repair_attempt_count,,,,,,0
qwen2_5_3b_instruct_q4_k_m,total_successful_execution_count,,,,,,4
