model_id,metric,mean,std,min,max,count,total
first_model,step_count,3.0,0.0,3.0,3.0,3,
first_model,initial_validation_accept_rate,0.0,0.0,0.0,0.0,3,
first_model,final_validation_accept_rate,0.666667,0.0,0.666667,0.666667,3,
first_model,execution_success_rate,1.0,0.0,1.0,1.0,3,
first_model,normal_activity_score,0.43,0.0,0.43,0.43,3,
first_model,diversity_score,0.75,0.0,0.75,0.75,3,
first_model,repetition_score,0.725,0.0,0.7250000000000001,0.7250000000000001,3,
first_model,sequence_coherence_score,0.0,0.0,0.0,0.0,3,
first_model,history_usage_score,0.0,0.0,0.0,0.0,3,
first_model,average_selection_latency_ms,714.887333,23.556791,695.176,748.002,3,
first_model,average_total_step_latency_ms,716.347,23.626511,696.565,749.558,3,
first_model,total_file_not_found_count,,,,,,0
first_model,total_unsafe_path_count,,,,,,9
first_model,total_validation_failure_count,,,,,,3
first_model,total_repair_attempt_count,,,,,,9
first_model,total_successful_execution_count,,,,,,6
qwen2_5_3b_instruct_q4_k_m,step_count,2.0,0.0,2.0,2.0,3,
qwen2_5_3b_instruct_q4_k_m,initial_validation_accept_rate,1.0,0.0,1.0,1.0,3,
qwen2_5_3b_instruct_q4_k_m,final_validation_accept_rate,1.0,0.0,1.0,1.0,3,
qwen2_5_3b_instruct_q4_k_m,execution_success_rate,0.0,0.0,0.0,0.0,3,
qwen2_5_3b_instruct_q4_k_m,normal_activity_score,0.0,0.0,0.0,0.0,3,
qwen2_5_3b_instruct_q4_k_m,diversity_score,0.5,0.0,0.5,0.5,3,
qwen2_5_3b_instruct_q4_k_m,repetition_score,0.725,0.0,0.7250000000000001,0.7250000000000001,3,
qwen2_5_3b_instruct_q4_k_m,sequence_coherence_score,0.0,0.0,0.0,0.0,3,
qwen2_5_3b_instruct_q4_k_m,history_usage_score,1.0,0.0,1.0,1.0,3,
qwen2_5_3b_instruct_q4_k_m,average_selection_latency_ms,518.446667,32.627824,492.395,564.455,3,
qwen2_5_3b_instruct_q4_k_m,average_total_step_latency_ms,519.139667,32.633039,493.08,565.155,3,
qwen2_5_3b_instruct_q4_k_m,total_file_not_found_count,,,,,,6
qwen2_5_3b_instruct_q4_k_m,total_unsafe_path_count,,,,,,0
qwen2_5_3b_instruct_q4_k_m,total_validation_failure_count,,,,,,0
qwen2_5_3b_instruct_q4_k_m,total_repair_attempt_count,,,,,,0
qwen2_5_3b_instruct_q4_k_m,total_successful_execution_count,,,,,,0
